🕘️更新时间,#genre#
秦安综合,http://172.17.0.2:8000/hls/-481857435201461877
秦安综合,http://172.17.0.2:8000/hls/-5268947024793312638
西峰综合,http://172.17.0.2:8000/hls/-3354011196313599322

☘️新疆频道,#genre#
哈密一套,http://172.17.0.2:8000/hls/-8124758849132892017
哈密二套,http://172.17.0.2:8000/hls/755118793737268566
哈密三套,http://172.17.0.2:8000/hls/8907953936381827808
兵团四师可克达拉综合,http://172.17.0.2:8000/hls/-8732698442090034004
兵团五师双河新闻综合,http://172.17.0.2:8000/hls/-8412812305899580949
兵团五师双河新闻综合,http://172.17.0.2:8000/hls/1085373948943828919
兵团八师石河子新闻综合,http://172.17.0.2:8000/hls/121814301830465536
奎屯哈萨克语,http://172.17.0.2:8000/hls/6427931775563115978
奎屯哈萨克语,http://172.17.0.2:8000/hls/-926874701472514956
玛纳斯综合,http://172.17.0.2:8000/hls/-8678841423862218505
玛纳斯综合,http://172.17.0.2:8000/hls/3223558143770418264
玛纳斯综合,http://172.17.0.2:8000/hls/-3730792992340479795
可克达拉综合,http://172.17.0.2:8000/hls/7038978022428189998

☘️山东频道,#genre#
山东文旅,http://172.17.0.2:8000/hls/3408987352237530483
山东文旅,http://172.17.0.2:8000/hls/5485572210587020349
淄博生活,http://172.17.0.2:8000/hls/-5985829559356637561
淄博都市,http://172.17.0.2:8000/hls/-1941264131775586647
烟台公共,http://172.17.0.2:8000/hls/5529633102496575857
烟台公共,http://172.17.0.2:8000/hls/-2908625357864865542
烟台新闻综合,http://172.17.0.2:8000/hls/-5542869811270901305
烟台新闻综合,http://172.17.0.2:8000/hls/-3066640409921673097
烟台经济科技,http://172.17.0.2:8000/hls/4988245005250762817
烟台经济科技,http://172.17.0.2:8000/hls/-8775588252738921834
菏泽一套新闻综合,http://172.17.0.2:8000/hls/-3373632246083567873
菏泽新闻综合,http://172.17.0.2:8000/hls/1988125143313456981
菏泽新闻综合,http://172.17.0.2:8000/hls/5901511017596806494
菏泽经济生活,http://172.17.0.2:8000/hls/935039569989094342
菏泽经济生活,http://172.17.0.2:8000/hls/-3109178290525514953

☘️山西频道,#genre#
万荣综合,http://172.17.0.2:8000/hls/691405876121222599
大宁综合,http://172.17.0.2:8000/hls/7437694740129573732
太谷新闻综合,http://172.17.0.2:8000/hls/5062553913167124736
太谷新闻综合,http://172.17.0.2:8000/hls/858926874006349738
山西经济与科技,http://172.17.0.2:8000/hls/544115936382337300
长子综合,http://172.17.0.2:8000/hls/-6953525274295641645
黎城综合,http://172.17.0.2:8000/hls/-7539217387302675498

☘️安徽频道,#genre#
合肥新闻,http://172.17.0.2:8000/hls/7480412071393690419
固镇新闻,http://172.17.0.2:8000/hls/190374483432290064
固镇新闻,http://172.17.0.2:8000/hls/6504241226088088840
阜南新闻综合,http://172.17.0.2:8000/hls/80273534208478748
灵璧综合,http://172.17.0.2:8000/hls/-5243811066303912036
广德生活,http://172.17.0.2:8000/hls/-3383286404366659520

☘️宁夏频道,#genre#
吴忠综合,http://172.17.0.2:8000/hls/4723893591589587596
吴忠综合,http://172.17.0.2:8000/hls/4468511758584995354
吴忠公共,http://172.17.0.2:8000/hls/5109037674933778005
吴忠公共,http://172.17.0.2:8000/hls/-3510738007987011628

☘️吉林频道,#genre#
延边-2,http://172.17.0.2:8000/hls/6073824480961766700
延边-2,http://172.17.0.2:8000/hls/-5605582056803197301
长白山电视台,http://172.17.0.2:8000/hls/-5223519931067725575
德惠综合,http://172.17.0.2:8000/hls/6374719495920114128
德惠综合,http://172.17.0.2:8000/hls/-1243589382529473563
